the-dark-knight-rises,0.99999
premium-rush,0.644239
sin-city-a-dame-to-kill-for,0.635978
now-you-see-me,0.600594
the-lookout,0.463622
the-walk,0.463622
looper,0.463622
treasure-planet,0.463622
500-days-of-summer,0.463622
the-night-before,0.463622
don-jon,0.463622
mysterious-skin,0.463622
now-you-see-me-2,0.463622
snowden,0.463622
brick,0.463622
inception,0.463622
batman-begins,0.455173
assassins-creed,0.402466
the-big-bounce,0.266913
dressed-to-kill,0.264264
along-came-a-spider,0.25948
hard-rain,0.25948
the-last-witch-hunter,0.25948
interstellar,0.258193
jaws-the-revenge,0.238697
oblivion,0.238697
jaws-2,0.162665
top-gun,0.14426
red,0.0991032
ella-enchanted,0.0991032
evan-almighty,0.0991032
exodus-gods-and-kings,0.0991032
empire-of-the-sun,0.0991032
little-white-lies,0.0991032
center-of-the-earth-journey-2-the-mysterious-island,0.0991032
knight-of-cups,0.0991032
newsies,0.0991032
valentines-day,0.0991032
im-not-there,0.0991032
transcendence,0.0991032
nine,0.0991032
the-dark-knight,0.0991032
public-enemies,0.0991032
get-smart,0.0991032
this-means-war,0.0991032
shaft,0.0991032
million-dollar-baby,0.0991032
educating-rita,0.0991032
310-to-yuma,0.0991032
the-revenant-2015,0.0991032
